Correct Estimation,Iteration,Distance Error
0.0,0,44.42500133617725
0.0,1,39.01170667813333
0.0,2,40.17522769427007
0.0,3,41.632233649560774
0.009900990099009901,4,42.5332748191232
0.0,5,39.66429083831509
0.0,6,37.89926754547358
0.0,7,36.67374813789772
0.0,8,37.874752530346484
0.019801980198019802,9,35.325148647161825
0.019801980198019802,10,34.55145294127246
0.0,11,30.356060429506904
0.009900990099009901,12,28.229691882424486
0.0,13,25.363580422894906
0.009900990099009901,14,24.272492316449522
0.04950495049504951,15,23.851662022095933
0.039603960396039604,16,22.397472518581147
0.0594059405940594,17,21.501012131108904
0.0891089108910891,18,22.2883204771993
0.07920792079207921,19,22.351294437531575
0.04950495049504951,20,23.36542840450536
0.10891089108910891,21,21.129524953331483
0.039603960396039604,22,20.43224994654993
0.0594059405940594,23,20.145180658542422
0.06930693069306931,24,19.71402061308673
0.07920792079207921,25,16.780637979147077
0.07920792079207921,26,17.93491262591652
0.13861386138613863,27,18.626241002289532
0.07920792079207921,28,18.40124614943235
0.09900990099009901,29,17.06332560053634
0.09900990099009901,30,15.801412012692166
0.06930693069306931,31,16.445584179228
0.09900990099009901,32,15.751809986435616
0.04950495049504951,33,15.452379754632585
0.07920792079207921,34,15.146261708883609
0.0891089108910891,35,13.944730048184391
0.09900990099009901,36,14.667168322679043
0.1188118811881188,37,13.10777879259293
0.10891089108910891,38,13.382433339982603
0.12871287128712872,39,13.69628098091112
0.10891089108910891,40,15.493472492530675
0.07920792079207921,41,14.764138764628383
0.0891089108910891,42,14.35964337401232
0.1188118811881188,43,13.059160804897964
0.0594059405940594,44,12.78671894257836
0.09900990099009901,45,12.64056808666951
0.13861386138613863,46,12.066872090659052
0.07920792079207921,47,13.247246221167254
0.0891089108910891,48,11.874999185628884
0.12871287128712872,49,12.470477212260565
0.07920792079207921,50,12.654593148302714
0.12871287128712872,51,12.828116315927213
0.0891089108910891,52,12.729368435978495
0.10891089108910891,53,12.71475593982153
0.07920792079207921,54,12.648266419159794
0.0891089108910891,55,12.528432664610426
0.1485148514851485,56,12.437065783543042
0.09900990099009901,57,11.862625186765511
0.04950495049504951,58,11.897536218476954
0.09900990099009901,59,11.907872662656025
0.1188118811881188,60,12.602865181337965
0.13861386138613863,61,12.360426438568682
0.12871287128712872,62,12.455232840634332
0.1188118811881188,63,11.887390280977563
0.0891089108910891,64,12.722378582437342
0.15841584158415842,65,11.47499825144269
0.09900990099009901,66,11.340238988691173
0.12871287128712872,67,10.898508146919879
0.04950495049504951,68,9.944467917368433
0.09900990099009901,69,9.688747575868883
0.07920792079207921,70,10.760838842194827
0.0594059405940594,71,12.48987626734166
0.1188118811881188,72,11.95359767982676
0.13861386138613863,73,11.494129236948217
0.1188118811881188,74,12.3694135139633
0.1188118811881188,75,12.290052042820552
0.1485148514851485,76,11.5616842229948
0.06930693069306931,77,11.505102111170183
0.13861386138613863,78,11.50745777333367
0.0891089108910891,79,10.578513196721307
0.09900990099009901,80,9.86290356590066
0.1485148514851485,81,10.49927695885979
0.12871287128712872,82,9.611148944952204
0.13861386138613863,83,8.795048956533124
0.10891089108910891,84,8.570167156533753
0.13861386138613863,85,7.57961206977102
0.12871287128712872,86,8.485467447176852
0.1188118811881188,87,8.585582135134471
0.1485148514851485,88,8.056573738506543
0.1188118811881188,89,7.690161282735717
0.1188118811881188,90,7.755231613007729
0.07920792079207921,91,8.0265683727786
0.06930693069306931,92,8.909357844566482
0.13861386138613863,93,9.100832125729518
0.06930693069306931,94,8.835500487227618
0.16831683168316833,95,8.648832705127887
0.09900990099009901,96,8.627626043246165
0.16831683168316833,97,8.551294444065443
0.07920792079207921,98,8.172116238230549
0.10891089108910891,99,8.20189399739553
0.0891089108910891,100,8.57320757377324
